Temps       ;Deformation ;
 5.0560E-002; 4.3973E-002;
 5.0720E-002; 4.4112E-002;
 5.0880E-002; 4.4250E-002;
 5.1040E-002; 4.4389E-002;
 5.1200E-002; 4.4528E-002;
 5.1360E-002; 4.4666E-002;
 5.1520E-002; 4.4805E-002;
 5.1680E-002; 4.4944E-002;
 5.1840E-002; 4.5082E-002;
 5.2000E-002; 4.5221E-002;
 5.2160E-002; 4.5359E-002;
 5.2320E-002; 4.5498E-002;
 5.2480E-002; 4.5637E-002;
 5.2640E-002; 4.5775E-002;
 5.2800E-002; 4.5914E-002;
 5.2960E-002; 4.6052E-002;
 5.3120E-002; 4.6191E-002;
 5.3280E-002; 4.6329E-002;
 5.3440E-002; 4.6468E-002;
 5.3600E-002; 4.6606E-002;
 5.3760E-002; 4.6744E-002;
 5.3920E-002; 4.6882E-002;
 5.4080E-002; 4.7020E-002;
 5.4240E-002; 4.7158E-002;
 5.4400E-002; 4.7296E-002;
 5.4560E-002; 4.7434E-002;
 5.4720E-002; 4.7571E-002;
 5.4880E-002; 4.7709E-002;
 5.5040E-002; 4.7846E-002;
 5.5200E-002; 4.7983E-002;
 5.5360E-002; 4.8120E-002;
 5.5520E-002; 4.8256E-002;
 5.5680E-002; 4.8393E-002;
 5.5840E-002; 4.8529E-002;
 5.6000E-002; 4.8665E-002;
 5.6160E-002; 4.8801E-002;
 5.6320E-002; 4.8937E-002;
 5.6480E-002; 4.9072E-002;
 5.6640E-002; 4.9208E-002;
 5.6800E-002; 4.9343E-002;
 5.6960E-002; 4.9478E-002;
 5.7120E-002; 4.9613E-002;
 5.7280E-002; 4.9748E-002;
 5.7440E-002; 4.9883E-002;
 5.7600E-002; 5.0018E-002;
 5.7760E-002; 5.0153E-002;
 5.7920E-002; 5.0287E-002;
 5.8080E-002; 5.0422E-002;
 5.8240E-002; 5.0557E-002;
 5.8400E-002; 5.0692E-002;
 5.8560E-002; 5.0827E-002;
 5.8720E-002; 5.0962E-002;
 5.8880E-002; 5.1097E-002;
 5.9040E-002; 5.1232E-002;
 5.9200E-002; 5.1367E-002;
 5.9360E-002; 5.1502E-002;
 5.9520E-002; 5.1638E-002;
 5.9680E-002; 5.1773E-002;
 5.9840E-002; 5.1909E-002;
 6.0000E-002; 5.2045E-002;
 6.0160E-002; 5.2181E-002;
 6.0320E-002; 5.2317E-002;
 6.0480E-002; 5.2453E-002;
 6.0640E-002; 5.2589E-002;
 6.0800E-002; 5.2726E-002;
 6.0960E-002; 5.2862E-002;
 6.1120E-002; 5.2999E-002;
 6.1280E-002; 5.3135E-002;
 6.1440E-002; 5.3272E-002;
 6.1600E-002; 5.3409E-002;
 6.1760E-002; 5.3546E-002;
 6.1920E-002; 5.3683E-002;
 6.2080E-002; 5.3820E-002;
 6.2240E-002; 5.3957E-002;
 6.2400E-002; 5.4095E-002;
 6.2560E-002; 5.4232E-002;
 6.2720E-002; 5.4370E-002;
 6.2880E-002; 5.4507E-002;
 6.3040E-002; 5.4645E-002;
 6.3200E-002; 5.4782E-002;
 6.3360E-002; 5.4920E-002;
 6.3520E-002; 5.5058E-002;
 6.3680E-002; 5.5196E-002;
 6.3840E-002; 5.5333E-002;
 6.4000E-002; 5.5471E-002;
 6.4160E-002; 5.5609E-002;
 6.4320E-002; 5.5747E-002;
 6.4480E-002; 5.5885E-002;
 6.4640E-002; 5.6023E-002;
 6.4800E-002; 5.6161E-002;
 6.4960E-002; 5.6300E-002;
 6.5120E-002; 5.6438E-002;
 6.5280E-002; 5.6576E-002;
 6.5440E-002; 5.6714E-002;
 6.5600E-002; 5.6853E-002;
 6.5760E-002; 5.6991E-002;
 6.5920E-002; 5.7130E-002;
 6.6080E-002; 5.7268E-002;
 6.6240E-002; 5.7406E-002;
 6.6400E-002; 5.7545E-002;
 6.6560E-002; 5.7684E-002;
 6.6720E-002; 5.7822E-002;
 6.6880E-002; 5.7961E-002;
 6.7040E-002; 5.8099E-002;
 6.7200E-002; 5.8238E-002;
 6.7360E-002; 5.8377E-002;
 6.7520E-002; 5.8515E-002;
 6.7680E-002; 5.8654E-002;
 6.7840E-002; 5.8793E-002;
 6.8000E-002; 5.8932E-002;
 6.8160E-002; 5.9071E-002;
 6.8320E-002; 5.9210E-002;
 6.8480E-002; 5.9348E-002;
 6.8640E-002; 5.9487E-002;
 6.8800E-002; 5.9626E-002;
 6.8960E-002; 5.9765E-002;
 6.9120E-002; 5.9904E-002;
 6.9280E-002; 6.0043E-002;
 6.9440E-002; 6.0182E-002;
 6.9600E-002; 6.0321E-002;
 6.9760E-002; 6.0460E-002;
 6.9920E-002; 6.0600E-002;
 7.0080E-002; 6.0739E-002;
 7.0240E-002; 6.0878E-002;
 7.0400E-002; 6.1017E-002;
 7.0560E-002; 6.1156E-002;
 7.0720E-002; 6.1295E-002;
 7.0880E-002; 6.1435E-002;
 7.1040E-002; 6.1574E-002;
 7.1200E-002; 6.1713E-002;
 7.1360E-002; 6.1852E-002;
 7.1520E-002; 6.1992E-002;
 7.1680E-002; 6.2131E-002;
 7.1840E-002; 6.2270E-002;
 7.2000E-002; 6.2410E-002;
 7.2160E-002; 6.2549E-002;
 7.2320E-002; 6.2689E-002;
 7.2480E-002; 6.2828E-002;
 7.2640E-002; 6.2967E-002;
 7.2800E-002; 6.3107E-002;
 7.2960E-002; 6.3246E-002;
 7.3120E-002; 6.3386E-002;
 7.3280E-002; 6.3525E-002;
 7.3440E-002; 6.3665E-002;
 7.3600E-002; 6.3804E-002;
 7.3760E-002; 6.3944E-002;
 7.3920E-002; 6.4083E-002;
 7.4080E-002; 6.4223E-002;
 7.4240E-002; 6.4363E-002;
 7.4400E-002; 6.4502E-002;
 7.4560E-002; 6.4642E-002;
 7.4720E-002; 6.4781E-002;
 7.4880E-002; 6.4921E-002;
 7.5040E-002; 6.5061E-002;
 7.5200E-002; 6.5200E-002;
 7.5360E-002; 6.5340E-002;
 7.5520E-002; 6.5480E-002;
 7.5680E-002; 6.5619E-002;
 7.5840E-002; 6.5759E-002;
 7.6000E-002; 6.5899E-002;
 7.6160E-002; 6.6039E-002;
 7.6320E-002; 6.6178E-002;
